mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,boot,Exclusions,hdi_contains_zero
-0.013,0.072,-0.157,0.125,0.002,0.001,2187.0,1285.0,2183.0,1801.0,1.0,107,Across Data,True
-0.0,0.066,-0.132,0.122,0.001,0.002,2547.0,906.0,2542.0,1516.0,1.0,108,Across Data,True
0.024,0.076,-0.127,0.169,0.002,0.002,2465.0,1094.0,2454.0,1329.0,1.0,109,Across Data,True
0.082,0.065,-0.043,0.211,0.001,0.001,2298.0,1925.0,2303.0,1314.0,1.0,110,Across Data,True
0.045,0.062,-0.081,0.159,0.001,0.001,1990.0,1632.0,1994.0,1544.0,1.0,111,Across Data,True
-0.029,0.077,-0.18,0.113,0.001,0.002,2854.0,1135.0,2880.0,1847.0,1.0,112,Across Data,True
-0.062,0.073,-0.207,0.072,0.002,0.001,2108.0,1515.0,2125.0,1339.0,1.0,113,Across Data,True
-0.066,0.07,-0.209,0.06,0.001,0.001,3182.0,2147.0,3156.0,1648.0,1.0,114,Across Data,True
0.071,0.065,-0.056,0.191,0.001,0.001,2553.0,2071.0,2559.0,1530.0,1.0,115,Across Data,True
-0.117,0.071,-0.248,0.029,0.001,0.001,2457.0,2208.0,2467.0,1592.0,1.0,116,Across Data,True
0.023,0.066,-0.104,0.148,0.001,0.001,2196.0,1193.0,2201.0,1637.0,1.0,117,Across Data,True
-0.026,0.074,-0.165,0.119,0.002,0.001,2372.0,1301.0,2378.0,1604.0,1.0,118,Across Data,True
0.16,0.064,0.029,0.285,0.001,0.001,2438.0,2357.0,2447.0,1684.0,1.0,119,Across Data,False
0.091,0.07,-0.051,0.223,0.002,0.001,1997.0,1997.0,2003.0,1489.0,1.0,120,Across Data,True
0.048,0.071,-0.09,0.184,0.001,0.001,2280.0,1696.0,2293.0,1598.0,1.0,121,Across Data,True
-0.077,0.071,-0.219,0.059,0.001,0.001,2385.0,2030.0,2383.0,1686.0,1.0,122,Across Data,True
-0.048,0.076,-0.194,0.104,0.002,0.001,2568.0,1503.0,2574.0,1758.0,1.0,123,Across Data,True
-0.037,0.064,-0.163,0.083,0.001,0.001,2336.0,1536.0,2335.0,1680.0,1.0,124,Across Data,True
-0.083,0.069,-0.221,0.044,0.001,0.001,2199.0,2101.0,2140.0,1314.0,1.0,125,Across Data,True
-0.095,0.071,-0.243,0.037,0.001,0.001,2488.0,2125.0,2490.0,1733.0,1.0,126,Across Data,True
0.115,0.067,-0.02,0.238,0.001,0.001,2478.0,2170.0,2463.0,1517.0,1.0,127,Across Data,True
-0.042,0.071,-0.179,0.098,0.001,0.001,2658.0,1306.0,2680.0,1648.0,1.0,128,Across Data,True
0.06,0.065,-0.075,0.184,0.001,0.001,2717.0,1414.0,2688.0,1368.0,1.0,129,Across Data,True
-0.022,0.073,-0.174,0.117,0.001,0.001,2615.0,1244.0,2618.0,1619.0,1.0,130,Across Data,True
-0.022,0.071,-0.16,0.121,0.002,0.001,2230.0,1309.0,2230.0,1657.0,1.0,131,Across Data,True
0.161,0.072,0.018,0.3,0.002,0.001,2308.0,1932.0,2302.0,1473.0,1.0,132,Across Data,False
0.1,0.078,-0.048,0.257,0.002,0.001,1511.0,1511.0,1543.0,1412.0,1.0,133,Across Data,True
0.079,0.063,-0.048,0.199,0.001,0.001,2254.0,1801.0,2251.0,1630.0,1.0,134,Across Data,True
-0.119,0.069,-0.257,0.009,0.001,0.001,2624.0,2425.0,2629.0,1752.0,1.0,135,Across Data,True
0.005,0.066,-0.13,0.13,0.001,0.001,2764.0,1019.0,2759.0,1421.0,1.0,136,Across Data,True
0.098,0.071,-0.045,0.229,0.001,0.001,2307.0,2081.0,2306.0,1615.0,1.0,137,Across Data,True
-0.085,0.073,-0.232,0.048,0.001,0.001,2511.0,1581.0,2526.0,1560.0,1.0,138,Across Data,True
0.017,0.072,-0.118,0.166,0.001,0.002,2571.0,981.0,2584.0,1580.0,1.0,139,Across Data,True
-0.038,0.071,-0.171,0.105,0.001,0.001,2632.0,1254.0,2636.0,1626.0,1.0,140,Across Data,True
0.213,0.068,0.089,0.349,0.001,0.001,2304.0,2087.0,2297.0,1494.0,1.0,141,Across Data,False
-0.082,0.067,-0.216,0.046,0.001,0.001,2715.0,1928.0,2714.0,1654.0,1.0,142,Across Data,True
-0.011,0.069,-0.137,0.123,0.001,0.001,2437.0,1101.0,2461.0,1603.0,1.0,143,Across Data,True
-0.025,0.07,-0.149,0.127,0.001,0.002,2766.0,1030.0,2761.0,1533.0,1.01,144,Across Data,True
-0.055,0.07,-0.19,0.086,0.001,0.001,2469.0,1554.0,2468.0,1699.0,1.0,145,Across Data,True
0.101,0.069,-0.045,0.229,0.001,0.001,2290.0,1815.0,2300.0,1520.0,1.0,146,Across Data,True
0.046,0.072,-0.093,0.189,0.002,0.001,1804.0,1599.0,1793.0,1543.0,1.0,147,Across Data,True
-0.005,0.07,-0.138,0.142,0.001,0.001,2297.0,1193.0,2287.0,1643.0,1.0,148,Across Data,True
0.036,0.063,-0.091,0.153,0.001,0.001,2200.0,1578.0,2199.0,1619.0,1.0,149,Across Data,True
0.026,0.068,-0.105,0.166,0.001,0.001,2459.0,1467.0,2472.0,1769.0,1.0,150,Across Data,True
-0.056,0.066,-0.18,0.07,0.001,0.001,2662.0,1829.0,2640.0,1843.0,1.0,151,Across Data,True
0.004,0.069,-0.134,0.13,0.002,0.001,2071.0,1114.0,2077.0,1588.0,1.0,152,Across Data,True
-0.063,0.07,-0.189,0.084,0.001,0.001,2731.0,1970.0,2731.0,1634.0,1.0,153,Across Data,True
0.171,0.065,0.042,0.296,0.001,0.001,2503.0,2374.0,2509.0,1631.0,1.0,154,Across Data,False
0.097,0.064,-0.02,0.224,0.001,0.001,2300.0,1934.0,2302.0,1515.0,1.0,155,Across Data,True
-0.084,0.073,-0.225,0.055,0.002,0.001,2046.0,1768.0,2055.0,1623.0,1.0,156,Across Data,True
-0.075,0.068,-0.207,0.047,0.001,0.001,2321.0,1850.0,2330.0,1811.0,1.0,157,Across Data,True
-0.018,0.078,-0.167,0.133,0.001,0.002,3066.0,1143.0,3087.0,1741.0,1.01,158,Across Data,True
